PartyAccountKey,PartyName,AccountNumber,BankName,RoutingNumber,PartyID,BankID,AccountType,AccountStatus,CurrencyCode
1,Microsoft Corp.,3552256505,BMO Harris Bank (US),71000288,PTY3912292247,BNK8987547752,Savings,Open,USD
2,United Parcel Service (UPS),7042621605,PNC Bank,43000096,PTY1197137317,BNK5511105923,Checking,Open,USD
3,Marathon Petroleum,2101710633,Bank of America,26009593,PTY1715304471,BNK2654045252,Operating,Open,USD
4,Ford Motor Company,2644850093,BMO Harris Bank (US),71000288,PTY7056058482,BNK8987547752,Checking,Open,USD
5,Alphabet Inc.,9169862676,Citibank,21000089,PTY3800715745,BNK7811237235,Savings,Open,USD
6,Intel Corp.,6714808477,Citibank,21000089,PTY1011683210,BNK7811237235,Operating,Open,USD
7,Sysco Corporation,5531731861,BMO Harris Bank (US),71000288,PTY5683558312,BNK8987547752,Checking,Open,USD
8,Marathon Petroleum,1902972443,BMO Harris Bank (US),71000288,PTY1715304471,BNK8987547752,Settlement,Open,USD
9,Walgreens Boots Alliance,1748991898,BMO Harris Bank (US),71000288,PTY8610634653,BNK8987547752,Checking,Open,USD
10,General Motors,8835451496,"TD Bank, N.A. (US)",31101266,PTY8816866210,BNK5167971386,Savings,Open,USD
11,Delta Air Lines,6989795050,BMO Harris Bank (US),71000288,PTY6986278352,BNK8987547752,Savings,Open,USD
12,General Motors,2769474505,BMO Harris Bank (US),71000288,PTY8816866210,BNK8987547752,Operating,Open,USD
13,IBM,4332788084,"TD Bank, N.A. (US)",31101266,PTY9991254081,BNK5167971386,Settlement,Open,USD
14,Delta Air Lines,6060500226,BMO Harris Bank (US),71000288,PTY6986278352,BNK8987547752,Operating,Open,USD
15,Chevron,2206863437,Citibank,21000089,PTY3748933244,BNK7811237235,DDA,Open,USD
16,Johnson & Johnson,4120079575,Citibank,21000089,PTY0042961820,BNK7811237235,Savings,Open,USD
17,CVS Health,7907822529,BMO Harris Bank (US),71000288,PTY1282810700,BNK8987547752,Settlement,Open,USD
18,Exxon Mobil,5967978333,BMO Harris Bank (US),71000288,PTY4098054023,BNK8987547752,DDA,Restricted,USD
19,Starbucks Corp.,7773993880,Bank of America,26009593,PTY4366635798,BNK2654045252,Checking,Restricted,USD
20,United Parcel Service (UPS),7015072773,BMO Harris Bank (US),71000288,PTY1197137317,BNK8987547752,Savings,Open,USD
21,Office Depot,2545198113,BMO Harris Bank (US),71000288,PTY6420189976,BNK8987547752,Settlement,Open,USD
22,Exxon Mobil,9048631478,BMO Harris Bank (US),71000288,PTY4098054023,BNK8987547752,DDA,Open,USD
23,Digital Realty Trust,3952451408,BMO Harris Bank (US),71000288,PTY9286704350,BNK8987547752,DDA,Open,USD
24,Target Corp.,9165892808,Wells Fargo,121000248,PTY7876339522,BNK3042761640,DDA,Open,USD
25,American Tower Corp.,2786531622,Wells Fargo,121000248,PTY7127548754,BNK3042761640,DDA,Restricted,USD
26,American Tower Corp.,5510436516,Bank of America,26009593,PTY7127548754,BNK2654045252,Settlement,Open,USD
27,General Motors,5105954397,BMO Harris Bank (US),71000288,PTY8816866210,BNK8987547752,Operating,Open,USD
28,Starbucks Corp.,4276529894,BMO Harris Bank (US),71000288,PTY4366635798,BNK8987547752,Operating,Open,USD
29,CVS Health,9159052139,BMO Harris Bank (US),71000288,PTY1282810700,BNK8987547752,DDA,Open,USD
30,"Amazon.com, Inc.",1866917971,BMO Harris Bank (US),71000288,PTY2779315664,BNK8987547752,Checking,Restricted,USD
