domain_name,table_name,table_description,column_name,data_type,data_size,nullable,description,is_primary_key,is_foreign_key,foreign_key_table,foreign_key_column,semantic_tags,example_value
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,Id,varchar,18,N,Unique Salesforce record identifier for the row.,Y,N,,,identifier|primary_key,001000000000001AAA
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,Name,varchar,28,N,Business-friendly name of the record.,N,N,,,descriptive,Microsoft Corp.
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,Type,varchar,17,N,Business classification of the record.,N,N,,,dimension_attribute,Customer - Direct
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,Industry,varchar,14,N,Industry classification.,N,N,,,,Banking Client
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,AccountNumber,varchar,8,N,Customer account number.,N,N,,,,ACC-1000
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,Ownership,varchar,10,N,"Ownership model such as public, private, or subsidiary.",N,N,,,,Public
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,Phone,varchar,14,N,Primary phone number.,N,N,,,,(649) 184-4891
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,Website,varchar,41,N,Primary website URL.,N,N,,,,https://www.microsoftcorp.com
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,BillingStreet,varchar,19,N,Billing address street line.,N,N,,,,100 Market St
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,BillingCity,varchar,13,N,Billing address city.,N,N,,,,Seattle
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,BillingState,varchar,2,N,Billing address state or province.,N,N,,,,WA
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,BillingPostalCode,integer,5,N,Billing address postal code.,N,N,,,,98101
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,BillingCountry,varchar,3,N,Billing address country.,N,N,,,,USA
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,AnnualRevenue,integer,9,N,Estimated or reported annual revenue amount.,N,N,,,measure|financial,469000000
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,NumberOfEmployees,integer,5,N,Estimated or reported employee count.,N,N,,,,3769
salesforce,Account,Salesforce standard Account object storing organizations or business customers.,Rating,varchar,4,N,Sales or risk rating used for prioritization.,N,N,,,dimension_attribute,Warm
salesforce,Campaign,Salesforce standard Campaign object storing marketing initiatives and events.,Id,varchar,18,N,Unique Salesforce record identifier for the row.,Y,N,,,identifier|primary_key,701000000000001AAA
salesforce,Campaign,Salesforce standard Campaign object storing marketing initiatives and events.,Name,varchar,33,N,Business-friendly name of the record.,N,N,,,descriptive,Treasury Innovation Summit 2025
salesforce,Campaign,Salesforce standard Campaign object storing marketing initiatives and events.,Type,varchar,13,N,Business classification of the record.,N,N,,,dimension_attribute,Conference
salesforce,Campaign,Salesforce standard Campaign object storing marketing initiatives and events.,Status,varchar,11,N,Current lifecycle or processing status of the record.,N,N,,,dimension_attribute,Completed
salesforce,Campaign,Salesforce standard Campaign object storing marketing initiatives and events.,StartDate,date,10,N,Effective start date.,N,N,,,date,2025-09-10
