domain_name,table_name,table_description,column_name,data_type,data_size,nullable,description,is_primary_key,is_foreign_key,foreign_key_table,foreign_key_column,semantic_tags,example_value
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,PartyAccountKey,integer,4,N,Surrogate key for the party-account bridge row.,Y,N,,,identifier|primary_key,1
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,PartyName,varchar,28,N,Legal or display name of the party.,N,N,,,descriptive,Microsoft Corp.
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,AccountNumber,integer,10,N,Customer account number.,N,N,,,,3552256505
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,BankName,varchar,20,N,Bank legal or trading name.,N,N,,,descriptive,BMO Harris Bank (US)
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,RoutingNumber,integer,9,N,Domestic routing or transit number.,N,N,,,,71000288
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,PartyID,varchar,13,N,Durable business identifier for the party.,N,Y,dim_party,PartyID,identifier|foreign_key,PTY3912292247
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,BankID,varchar,13,N,Durable business identifier for the bank.,N,Y,dim_bank,BankID,identifier|foreign_key,BNK8987547752
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,AccountType,varchar,10,N,Type of deposit or payment account.,N,N,,,dimension_attribute,Savings
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,AccountStatus,varchar,10,N,Operational status of the account.,N,N,,,dimension_attribute,Open
payments,bridge_party_account,Bridge table linking parties to bank accounts and related bank attributes.,CurrencyCode,varchar,3,N,ISO currency code for the account.,N,N,,,,USD
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,BankKey,integer,1,N,Surrogate key for the bank dimension.,Y,N,,,identifier|primary_key,1
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,BankID,varchar,13,N,Durable business identifier for the bank.,N,N,,,identifier,BNK8987547752
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,BankName,varchar,20,N,Bank legal or trading name.,N,N,,,descriptive,BMO Harris Bank (US)
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,BankRoleType,varchar,19,N,"Role the bank plays in payments, such as originating or receiving bank.",N,N,,,dimension_attribute,PayorBank|PayeeBank
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,RoutingNumber,integer,9,N,Domestic routing or transit number.,N,N,,,,71000288
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,SWIFTBIC,varchar,11,N,SWIFT/BIC identifier for international payments.,N,N,,,,BOFAUS3NXXX
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,BankType,varchar,15,N,Institution classification such as national bank or credit union.,N,N,,,dimension_attribute,National Bank
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,OwnershipType,varchar,7,N,Ownership model of the bank.,N,N,,,dimension_attribute,Public
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,CountryCode,varchar,2,N,ISO-style country code.,N,N,,,,US
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,HeadquartersState,varchar,2,N,State of bank headquarters.,N,N,,,,FL
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,HeadquartersCity,varchar,8,N,City of bank headquarters.,N,N,,,,Miami
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,Regulator,varchar,15,N,Primary supervisory regulator.,N,N,,,,NCUA
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,ClearingNetworksSupported,varchar,17,N,Payment and clearing networks supported by the bank.,N,N,,,,ACH|Fedwire|SWIFT
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,CorrespondentBankFlag,varchar,1,N,Flag indicating whether the institution acts as a correspondent bank.,N,N,,,,Y
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,SettlementCurrency,varchar,3,N,Default settlement currency.,N,N,,,,USD
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,LiquidityTier,varchar,6,N,Liquidity or size tier used for treasury analytics.,N,N,,,,Tier 2
payments,dim_bank,Conformed payments bank dimension representing originating and receiving banks.,BSAAMLProgramRating,varchar,12,N,Compliance rating for the BSA/AML program.,N,N,,,dimension_attribute,Needs Review
