TransactionID,TransactionDate,PayorName,PayorAccountNumber,PayorBank,PayorRoutingNumber,PayeeName,PayeeAccountNumber,PayeeBank,PayeeRoutingNumber,TransactionType,Amount,Currency,Status
TRNF77C47D8F8,2025-11-15,Microsoft Corp.,3552256505,BMO Harris Bank (US),071000288,Cardinal Health,1208741547,JPMorgan Chase,021000021,RTP (Real-Time Payment),23358.02,USD,Completed
TRN3BA8F4C599,2025-01-31,United Parcel Service (UPS),7042621605,PNC Bank,043000096,Exxon Mobil,2759018976,BMO Harris Bank (US),071000288,ACH Credit,27694.12,USD,Completed
TRN2DC402CD79,2025-09-01,Marathon Petroleum,2101710633,Bank of America,026009593,Chevron,3421871725,BMO Harris Bank (US),071000288,ACH Credit,176073.08,USD,Completed
TRN268CF41599,2025-03-11,Ford Motor Company,2644850093,BMO Harris Bank (US),071000288,Cardinal Health,5578522949,Citibank,021000089,RTP (Real-Time Payment),18449.51,USD,Completed
TRN707083B7BA,2025-12-23,Alphabet Inc.,9169862676,Citibank,021000089,General Motors,9953441515,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),24707.83,USD,Completed
TRNA4E97B72DA,2025-10-04,Intel Corp.,6714808477,Citibank,021000089,Delta Air Lines,4183234502,BMO Harris Bank (US),071000288,ACH Credit,78798.04,USD,Completed
TRN4F50D8403E,2025-06-06,Sysco Corporation,5531731861,BMO Harris Bank (US),071000288,CVS Health,1581187339,"TD Bank, N.A. (US)",031101266,ACH Credit,194968.62,USD,Completed
TRN013BE291A5,2025-08-29,Marathon Petroleum,1902972443,BMO Harris Bank (US),071000288,AmerisourceBergen,4970566812,"TD Bank, N.A. (US)",031101266,Domestic Wire,2126624.54,USD,Completed
TRNFB8BC194A2,2025-01-01,Walgreens Boots Alliance,1748991898,BMO Harris Bank (US),071000288,Microsoft Corp.,3589886947,PNC Bank,043000096,Domestic Wire,228458.38,USD,Completed
TRN97010B8922,2025-03-15,General Motors,8835451496,"TD Bank, N.A. (US)",031101266,CVS Health,3392960158,BMO Harris Bank (US),071000288,Domestic Wire,2197875.06,USD,Completed
TRNEFD7BBA570,2025-10-14,Delta Air Lines,6989795050,BMO Harris Bank (US),071000288,Precision Manufacturing Inc.,5277107063,Wells Fargo,121000248,ACH Debit,206994.13,USD,Completed
TRN410118606A,2025-04-25,General Motors,2769474505,BMO Harris Bank (US),071000288,Delta Air Lines,4442593459,PNC Bank,043000096,RTP (Real-Time Payment),11818.00,USD,Completed
TRNEECBC9AAAC,2025-03-03,IBM,4332788084,"TD Bank, N.A. (US)",031101266,The Walt Disney Company,5976673254,BMO Harris Bank (US),071000288,ACH Credit,137144.38,USD,Failed
TRNE82107230F,2025-03-07,Delta Air Lines,6060500226,BMO Harris Bank (US),071000288,Apple Inc.,9484463641,Wells Fargo,121000248,ACH Credit,108152.50,USD,Completed
TRN34BA554EAB,2025-12-06,Chevron,2206863437,Citibank,021000089,Boeing,7527627362,BMO Harris Bank (US),071000288,Domestic Wire,2338806.05,USD,Failed
TRNC3026596E0,2025-11-15,Johnson & Johnson,4120079575,Citibank,021000089,Procter & Gamble,7733838553,BMO Harris Bank (US),071000288,ACH Debit,200425.66,USD,Completed
TRNB61ED7DB6D,2025-08-31,CVS Health,7907822529,BMO Harris Bank (US),071000288,PayDay Services Inc.,7136633846,Bank of America,026009593,Domestic Wire,300511.35,USD,Completed
TRN33EDDA753F,2025-11-02,Exxon Mobil,5967978333,BMO Harris Bank (US),071000288,AmerisourceBergen,3813282291,Bank of America,026009593,Domestic Wire,1403786.87,USD,Completed
TRND73483434E,2025-03-11,Starbucks Corp.,7773993880,Bank of America,026009593,Alphabet Inc.,4007406617,BMO Harris Bank (US),071000288,ACH Debit,99838.41,USD,Pending
TRNCEB41D26AF,2025-11-12,United Parcel Service (UPS),7015072773,BMO Harris Bank (US),071000288,PayDay Services Inc.,5027284614,U.S. Bank,091000022,RTP (Real-Time Payment),16364.69,USD,Completed
TRN8BCC0DF828,2025-12-23,Office Depot,2545198113,BMO Harris Bank (US),071000288,Ford Motor Company,9805623361,Bank of America,026009593,Domestic Wire,4491253.82,USD,Completed
TRNCC988301D0,2025-11-09,Exxon Mobil,9048631478,BMO Harris Bank (US),071000288,General Motors,4640548236,Bank of America,026009593,ACH Credit,193576.16,USD,Completed
TRNCD80D53E6D,2025-09-26,Digital Realty Trust,3952451408,BMO Harris Bank (US),071000288,Delta Air Lines,9992758382,"TD Bank, N.A. (US)",031101266,RTP (Real-Time Payment),19863.76,USD,Pending
TRNF0ECC17641,2025-09-20,Target Corp.,9165892808,Wells Fargo,121000248,Apple Inc.,3841325861,BMO Harris Bank (US),071000288,Domestic Wire,3923735.80,USD,Completed
TRN59F64C1FB0,2025-09-07,American Tower Corp.,2786531622,Wells Fargo,121000248,Costco Wholesale,5551450596,BMO Harris Bank (US),071000288,ACH Credit,167214.77,USD,Pending
TRN4D8F75EE86,2025-03-17,American Tower Corp.,5510436516,Bank of America,026009593,Kroger,5798291031,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),3162.67,USD,Pending
TRN07E1DACFFF,2025-10-15,General Motors,5105954397,BMO Harris Bank (US),071000288,Global Logistics Partners,6243658887,Bank of America,026009593,ACH Debit,186660.95,USD,Completed
TRNA931FDC880,2025-11-13,Starbucks Corp.,4276529894,BMO Harris Bank (US),071000288,AmerisourceBergen,9460558364,JPMorgan Chase,021000021,ACH Debit,126531.06,USD,Completed
TRN0BEA4F2031,2025-09-21,CVS Health,9159052139,BMO Harris Bank (US),071000288,Cardinal Health,1501393844,JPMorgan Chase,021000021,RTP (Real-Time Payment),1175.11,USD,Completed
TRN53B58DCE92,2025-08-03,"Amazon.com, Inc.",1866917971,BMO Harris Bank (US),071000288,Precision Manufacturing Inc.,2101929103,Wells Fargo,121000248,ACH Debit,189102.52,USD,Completed
TRN5A982F72B4,2025-03-28,Exxon Mobil,4830254751,Bank of America,026009593,Boeing,3990834791,BMO Harris Bank (US),071000288,Domestic Wire,4510142.13,USD,Completed
TRN7296936C4F,2025-11-03,Ford Motor Company,4050756036,Bank of America,026009593,Marathon Petroleum,2239682215,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),16880.02,USD,Completed
TRN892B19AFD6,2025-04-25,Gordon Food Service,5237823139,U.S. Bank,091000022,Kroger,3005393203,BMO Harris Bank (US),071000288,ACH Credit,67770.16,USD,Failed
TRNECED62E20B,2025-06-12,Procter & Gamble,9760484709,U.S. Bank,091000022,Microsoft Corp.,3713951461,BMO Harris Bank (US),071000288,ACH Credit,63380.83,USD,Completed
TRN45C6307E1E,2025-08-29,Boeing,8402506718,BMO Harris Bank (US),071000288,Target Corp.,3132207411,Wells Fargo,121000248,ACH Debit,167853.94,USD,Completed
TRN7027520B62,2025-01-02,CVS Health,8282881560,Citibank,021000089,Marathon Petroleum,1254358022,BMO Harris Bank (US),071000288,Domestic Wire,3171971.88,USD,Completed
TRN2A02BBED9F,2025-11-07,Costco Wholesale,4661018734,Bank of America,026009593,Verizon Communications,7492106435,BMO Harris Bank (US),071000288,Domestic Wire,2926048.03,USD,Completed
TRNA66B006EEE,2025-11-11,Innovative Tech Solutions,9405873850,Citibank,021000089,IBM,5770973625,BMO Harris Bank (US),071000288,ACH Debit,89430.94,USD,Completed
TRND1F5E85C23,2025-09-06,Target Corp.,6194829622,BMO Harris Bank (US),071000288,Microsoft Corp.,6212175755,"TD Bank, N.A. (US)",031101266,ACH Debit,212005.91,USD,Completed
TRN03B7392590,2025-08-07,Starbucks Corp.,2813796101,BMO Harris Bank (US),071000288,Verizon Communications,7232733814,JPMorgan Chase,021000021,RTP (Real-Time Payment),11536.19,USD,Completed
TRN28B8092D10,2025-03-13,Exxon Mobil,4866750577,BMO Harris Bank (US),071000288,"Amazon.com, Inc.",3795856157,JPMorgan Chase,021000021,ACH Credit,227411.31,USD,Failed
TRN20B98FFEEE,2025-04-15,CVS Health,6097494220,"TD Bank, N.A. (US)",031101266,American Tower Corp.,9809075456,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),24857.75,USD,Completed
TRN5D80AFDFE7,2025-06-22,IBM,8451669050,BMO Harris Bank (US),071000288,Global Logistics Partners,8518689143,U.S. Bank,091000022,ACH Credit,246633.74,USD,Pending
TRNAF4EA82A18,2025-10-19,Costco Wholesale,6360279041,BMO Harris Bank (US),071000288,Digital Realty Trust,1011376311,Wells Fargo,121000248,ACH Credit,49616.48,USD,Completed
TRN505C7FB7CB,2025-10-04,Procter & Gamble,7445447227,BMO Harris Bank (US),071000288,Walgreens Boots Alliance,7544363474,Wells Fargo,121000248,RTP (Real-Time Payment),21641.91,USD,Completed
TRNB725543DE1,2025-01-26,Office Depot,8828632905,BMO Harris Bank (US),071000288,Procter & Gamble,1278175247,PNC Bank,043000096,ACH Debit,167216.82,USD,Pending
TRNCA60154AEA,2025-10-06,Cisco Systems,7590929453,BMO Harris Bank (US),071000288,Kroger,7986658271,Bank of America,026009593,RTP (Real-Time Payment),23734.30,USD,Completed
TRN6458BB9E3F,2025-03-10,Delta Air Lines,5645089077,Wells Fargo,121000248,The Home Depot,7032216240,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),6989.02,USD,Pending
TRN5FA800A9D9,2025-05-27,Office Depot,8757132136,BMO Harris Bank (US),071000288,Gordon Food Service,6413643552,PNC Bank,043000096,ACH Debit,104763.71,USD,Completed
TRN8B74F32D49,2025-08-19,Cardinal Health,3076232124,"TD Bank, N.A. (US)",031101266,Sysco Corporation,7304437243,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),24733.43,USD,Completed
TRN977CA8884A,2025-05-26,IBM,8394035661,BMO Harris Bank (US),071000288,AmerisourceBergen,8051353576,JPMorgan Chase,021000021,RTP (Real-Time Payment),6939.64,USD,Completed
TRN38AE10E774,2025-05-26,Cardinal Health,8337665218,JPMorgan Chase,021000021,Office Depot,6664410543,BMO Harris Bank (US),071000288,Domestic Wire,2991433.61,USD,Pending
TRN1A8509625B,2025-04-16,Innovative Tech Solutions,5611963997,Bank of America,026009593,Marathon Petroleum,1761521307,BMO Harris Bank (US),071000288,ACH Debit,16241.98,USD,Completed
TRN7BF8DFCC72,2025-07-06,Walgreens Boots Alliance,2603455223,"TD Bank, N.A. (US)",031101266,"Amazon.com, Inc.",5708118354,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),7865.87,USD,Completed
TRN468E0B8AFB,2025-08-03,"Amazon.com, Inc.",5503943316,PNC Bank,043000096,Exxon Mobil,9640315936,BMO Harris Bank (US),071000288,ACH Debit,31578.27,USD,Completed
TRN3C1389E0B2,2025-01-01,Cisco Systems,8765727858,BMO Harris Bank (US),071000288,Target Corp.,9994679996,Citibank,021000089,Domestic Wire,425792.76,USD,Completed
TRN6179BBFEB2,2025-09-21,The Walt Disney Company,9864252982,PNC Bank,043000096,Chevron,5183635643,BMO Harris Bank (US),071000288,ACH Debit,102777.80,USD,Pending
TRND33DDA1FA5,2025-09-28,Chevron,3627662791,Wells Fargo,121000248,UnitedHealth Group,6449424940,BMO Harris Bank (US),071000288,ACH Debit,9033.36,USD,Completed
TRNC9723D1241,2025-04-21,Digital Realty Trust,7733630616,Citibank,021000089,Ford Motor Company,7018942713,BMO Harris Bank (US),071000288,ACH Debit,102909.16,USD,Completed
TRN68C87F4053,2025-01-04,Verizon Communications,5762224305,Citibank,021000089,Precision Manufacturing Inc.,3128673185,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),2435.49,USD,Failed
TRN5B546ABC13,2025-06-21,Walgreens Boots Alliance,1965192993,Wells Fargo,121000248,Target Corp.,1524521511,BMO Harris Bank (US),071000288,ACH Debit,33402.56,USD,Completed
TRNA8E570E403,2025-12-09,Alphabet Inc.,9889661932,BMO Harris Bank (US),071000288,Starbucks Corp.,8425683074,Citibank,021000089,Domestic Wire,2448691.01,USD,Completed
TRNFCBC093D0D,2025-07-07,PepsiCo,7624487871,BMO Harris Bank (US),071000288,Office Depot,1382920530,Citibank,021000089,ACH Credit,249687.19,USD,Completed
TRNDE55974F17,2025-04-07,Precision Manufacturing Inc.,1811770486,BMO Harris Bank (US),071000288,Boeing,9895747420,Citibank,021000089,Domestic Wire,4286207.54,USD,Pending
